,Unnamed: 0,id_x,RA_x,DEC_x,pos_err,DET_ML_F,rate_F,rate_F_err,flux_F,flux_F_err,snr_F,exptime_F,cts_ap_F,cts_ap_F_err,DET_ML_S,rate_S,rate_S_err,flux_S,flux_S_err,snr_S,exptime_S,cts_ap_S,cts_ap_S_err,DET_ML_H,rate_H,rate_H_err,flux_H,flux_H_err,snr_H,exptime_H,cts_ap_H,cts_ap_H_err,HR,HR_lo_lim,HR_up_lim,ra,dec,GRI/IZY,Visible,Invisible,Saturated,"Visible, Near Saturated Object","Not Visible, Near Saturated Object","Visible, but near an object","Not Visible, but near an object",Unclear
15,101,b'cid_1094 ',149.99096995989999,2.0037389129,1.166,38.22,0.00029300002,5.2800002e-05,4.6e-15,8.29e-16,5.56,126.7,35.66,8.05,29.74,0.000152,3.63e-05,9.64e-16,2.3e-16,4.19,125.54,18.26,5.89,10.81,0.00010599999,3.5799999999999996e-05,3.2200000000000003e-15,1.09e-15,2.94,127.42,13.16,5.08,-0.25,-0.54,0.09,149.99096995989999,2.0037389129,B,,Y,,,,,,
19,122,b'cid_1112 ',150.39505901200002,1.97698386908,0.198,339.78,0.00085699995,6.620000000000001e-05,1.4099999e-14,1.09e-15,12.94,184.63,151.27,16.13,248.29,0.000556,4.6399999999999996e-05,3.85e-15,3.21e-16,11.98,175.65,92.58,12.71,113.94,0.000321,3.72e-05,9.8e-15,1.1399999000000002e-15,8.62,187.13,57.44,10.1,-0.27,-0.36,-0.18,150.39505901200002,1.97698386908,B,,Y,,,,,,
20,123,b'cid_1113 ',150.31280999290001,1.9538821993000002,0.948,15.88,0.00016,4.0799998000000004e-05,2.51e-15,6.4099996e-16,3.91,168.72,25.35,6.86,27.73,0.000154,3.3199998e-05,9.760000999999999e-16,2.1e-16,4.64,167.89,24.12,6.7,-99.0,0.000193,-99.0,5.8699996999999996e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.58,-0.81,-0.32,150.31280999290001,1.9538821993,B,,Y,,,,,,
22,129,b'cid_11178',150.01400756835938,2.193798,0.644,-99.0,0.0004929999700000001,-99.0,7.74e-15,-99.0,0.0,-99.0,-99.0,-99.0,14.05,7.38e-05,2.6700001e-05,4.68e-16,1.6899999999999999e-16,2.76,199.22,14.01,5.23,-99.0,0.00019099999999999998,-99.0,5.8099996999999994e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.5,150.014007568359,2.193798,B,,Y,,,,,,
25,158,b'cid_1143 ',150.0368600085,2.2577741018,0.24600000000000002,54.19,0.000275,4.98e-05,4.32e-15,7.8200003e-16,5.51,174.73,49.98,9.45,43.3,0.000131,3.1400003e-05,8.3100004e-16,1.99e-16,4.18,169.81,23.32,6.6,15.23,0.00014,3.91e-05,4.26e-15,1.1900001e-15,3.56,179.9,26.61,7.02,-0.03,-0.27,0.21,150.0368600085,2.2577741018,B,,Y,,,,,,
26,161,b'cid_11455',150.044163961,2.6564919798099997,0.20800000000000002,38.44,0.000139,3.5e-05,2.26e-15,5.690000000000001e-16,3.97,179.59,26.75,7.03,29.73,0.000129,3.24e-05,8.729999599999999e-16,2.1900001000000003e-16,3.97,168.97,21.07,6.3,10.88,3.4399999999999996e-05,1.99e-05,1.0499999000000001e-15,6.07e-16,1.72,189.85,11.59,4.8,-0.33,-0.54,-0.01,150.044163961,2.65649197981,B,,Y,,,,,,
27,162,b'cid_1147 ',150.0077700096,2.149298189,0.24600000000000002,25.84,0.00021199998,4.2800002e-05,3.3299999999999997e-15,6.72e-16,4.96,178.89,37.41,8.23,10.88,9.09e-05,2.6400001e-05,5.7600003e-16,1.67e-16,3.44,169.7,15.71,5.5,12.15,0.00012000000400000001,3.4399999999999996e-05,3.65e-15,1.0499999000000001e-15,3.5,181.85,22.07,6.43,0.04,-0.23,0.32,150.0077700096,2.149298189,B,,Y,,,,,,
28,164,b'cid_1149 ',150.02410995719998,2.2447951247,0.612,10.74,6.87e-05,4.03e-05,1.08e-15,6.33e-16,1.71,171.49,11.0,4.69,-99.0,4.8600003e-05,-99.0,3.0800000000000003e-16,-99.0,0.0,-99.0,-99.0,-99.0,11.9,6.27e-05,3.64e-05,1.9100000000000003e-15,1.1099999999999999e-15,1.72,172.97,10.35,4.57,-99.0,0.82,-99.0,150.02410995719998,2.2447951247,B,,Y,,,,,,
31,172,b'cid_11566',150.40499877929688,2.2784240000000002,0.953,-99.0,0.00035299999999999996,-99.0,5.54e-15,-99.0,0.0,-99.0,-99.0,-99.0,15.33,7.01e-05,2.55e-05,4.44e-16,1.6200000000000002e-16,2.75,165.05,12.25,4.92,-99.0,6.42e-05,-99.0,1.95e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.59,150.40499877929702,2.278424,B,,Y,,,,,,
33,181,b'cid_11633',149.89700317382812,2.323927,1.861,-99.0,0.0007769999999999999,-99.0,1.22e-14,-99.0,0.0,-99.0,-99.0,-99.0,14.61,0.00010499999,3.3100000000000005e-05,6.66e-16,2.1e-16,3.19,168.45,16.89,5.69,-99.0,0.00022100001,-99.0,6.72e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.77,149.89700317382798,2.323927,B,,Y,,,,,,
36,194,b'cid_11754',150.20899963378906,2.2495540000000003,0.36700000000000005,-99.0,0.000592,-99.0,9.29e-15,-99.0,0.0,-99.0,-99.0,-99.0,16.39,4.92e-05,2.1700002e-05,3.1199998e-16,1.38e-16,2.27,160.79,7.83,4.05,-99.0,0.00025399998,-99.0,7.720000000000001e-15,-99.0,0.0,-99.0,-99.0,-99.0,0.23,0.1,0.72,150.208999633789,2.2495540000000003,B,,Y,,,,,,
39,212,b'cid_1191 ',149.870119959,2.3519688015,0.5379999999999999,36.05,0.0002,3.8299999999999996e-05,3.1399999999999997e-15,6.01e-16,5.2,167.75,33.13,7.77,40.38,0.000138,2.9600000000000005e-05,8.75e-16,1.88e-16,4.66,167.54,22.49,6.49,-99.0,0.000426,-99.0,1.3e-14,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.8,149.870119959,2.3519688015,B,,Y,,,,,,
42,231,b'cid_1209 ',149.88171998110002,2.3679534797,0.68,23.57,0.000113,3.37e-05,1.77e-15,5.29e-16,3.35,143.43,17.59,5.79,12.17,4.66e-05,2.05e-05,2.95e-16,1.3e-16,2.27,144.84,7.19,3.9,-99.0,0.000376,-99.0,1.14e-14,-99.0,0.0,-99.0,-99.0,-99.0,-0.03,-0.26,0.26,149.88171998110002,2.3679534797,B,,Y,,,,,,
43,236,b'cid_1213 ',150.0007499728,2.2513576119,0.276,32.9,0.00015800001,3.8799999999999994e-05,2.48e-15,6.089999999999999e-16,4.05,168.28,25.2,6.84,11.19,5.1e-05,2.1700002e-05,3.23e-16,1.38e-16,2.36,167.62,8.05,4.09,22.04,0.00011200000000000001,3.35e-05,3.4e-15,1.0199999e-15,3.34,168.39,18.41,5.92,0.18,-0.13,0.51,150.0007499728,2.2513576119,B,,Y,,,,,,
45,253,b'cid_1229 ',150.3725199818,2.2030642287,1.195,8.42,0.00010800001,2.99e-05,1.7e-15,4.69e-16,3.6,160.98,17.59,5.79,14.01,6.96e-05,2.18e-05,4.4099997e-16,1.38e-16,3.19,160.76,11.21,4.73,-99.0,0.000199,-99.0,6.05e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.38,-0.68,0.02,150.3725199818,2.2030642287,B,,Y,,,,,,
47,272,b'cid_1246 ',150.0158299922,2.441884998,0.466,29.47,0.00021400001,4.31e-05,3.36e-15,6.77e-16,4.97,167.39,34.65,7.94,14.25,9.76e-05,2.7399999999999995e-05,6.190000299999999e-16,1.74e-16,3.55,165.57,15.51,5.47,13.98,0.00010800001,3.3199998e-05,3.2799999999999997e-15,1.01e-15,3.26,168.48,18.07,5.87,-0.06,-0.34,0.25,150.0158299922,2.441884998,B,,Y,,,,,,
49,280,b'cid_12512',149.8800048828125,1.937113,1.26,-99.0,0.00041799998,-99.0,6.559999999999999e-15,-99.0,0.0,-99.0,-99.0,-99.0,12.24,7.219999999999999e-05,2.3199999999999998e-05,4.58e-16,1.47e-16,3.13,169.16,11.4,4.77,-99.0,7.36e-05,-99.0,2.2399999999999997e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.83,149.88000488281298,1.937113,B,,Y,,,,,,
50,288,b'cid_1259 ',150.3429899883,2.3444932296000003,0.532,14.45,8.159999600000001e-05,4.03e-05,1.28e-15,6.33e-16,2.02,216.19,18.35,5.91,12.37,6.7600005e-05,2.6099998999999998e-05,4.29e-16,1.6499999e-16,2.6,211.05,14.89,5.37,-99.0,0.00026600002,-99.0,8.09e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.32,150.3429899883,2.3444932296000003,B,,Y,,,,,,
51,291,b'cid_1261 ',150.466509985,2.2989001105,1.617,21.54,0.000312,7.43e-05,4.9e-15,1.1699999e-15,4.21,127.33,34.57,7.93,8.6,9.97e-05,4.46e-05,6.320000299999999e-16,2.8299998e-16,2.24,116.89,10.81,4.66,14.41,0.00018999999,5.8200003e-05,5.7800004e-15,1.77e-15,3.25,133.69,23.02,6.56,0.23,-0.03,0.5,150.466509985,2.2989001105,B,,Y,,,,,,
52,292,b'cid_1262 ',150.3988499921,2.2709033063,0.684,20.8,0.000145,4.95e-05,2.2799999e-15,7.77e-16,2.92,163.03,26.07,6.95,14.56,9.449999999999999e-05,3.21e-05,5.990000000000001e-16,2.04e-16,2.94,157.85,16.63,5.65,-99.0,0.00022100001,-99.0,6.72e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.2,-0.48,0.3,150.3988499921,2.2709033063,B,,Y,,,,,,
53,293,b'cid_1263 ',150.4251899911,2.3120887098,0.7440000000000001,25.31,0.00012000000400000001,3.41e-05,1.88e-15,5.349999999999999e-16,3.51,162.9,19.13,6.02,15.14,5.0100003e-05,2.0899998999999997e-05,3.1800002e-16,1.3300000000000002e-16,2.39,162.45,7.91,4.06,8.18,7.46e-05,2.84e-05,2.27e-15,8.630000000000001e-16,2.63,162.51,12.27,4.92,-0.04,-0.44,0.37,150.4251899911,2.3120887098,B,,Y,,,,,,
55,296,b'cid_12650',150.21299743652344,2.18825,0.986,-99.0,0.000595,-99.0,9.340000000000001e-15,-99.0,0.0,-99.0,-99.0,-99.0,11.22,4e-05,1.86e-05,2.54e-16,1.18e-16,2.16,216.83,8.1,4.1,-99.0,0.00022100001,-99.0,6.72e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.43,150.212997436523,2.18825,B,,Y,,,,,,
57,306,b'cid_1275 ',150.30997643,2.50452821708,0.43,68.49,0.00035499999999999996,4.9699996000000004e-05,5.84e-15,8.180000500000001e-16,7.14,177.15,56.18,9.99,31.76,0.000164,3.9200000000000004e-05,1.13e-15,2.71e-16,4.2,168.18,20.76,6.25,33.82,0.00020299999999999997,4.1e-05,6.19e-15,1.25e-15,4.95,174.63,36.47,8.13,0.28,0.15,0.42,150.30997643,2.50452821708,B,,Y,,,,,,
59,316,b'cid_1285 ',150.35632999860002,2.2239851841,0.983,12.27,0.00010499999,3.48e-05,1.65e-15,5.46e-16,3.01,174.7,17.18,5.73,-99.0,0.00022,-99.0,1.3900000000000001e-15,-99.0,0.0,-99.0,-99.0,-99.0,11.39,7.91e-05,3.07e-05,2.4e-15,9.33e-16,2.58,175.06,13.27,5.1,0.57,0.36,0.82,150.35632999860002,2.2239851841,B,,Y,,,,,,
60,322,b'cid_1290 ',150.0779000039,1.9303350097,0.429,10.82,0.000113,4.52e-05,1.77e-15,7.1e-16,2.5,155.03,17.65,5.8,-99.0,7.72e-05,-99.0,4.89e-16,-99.0,0.0,-99.0,-99.0,-99.0,10.35,8.03e-05,3.9900002e-05,2.44e-15,1.21e-15,2.01,156.78,12.96,5.05,0.39,0.14,0.77,150.0779000039,1.9303350097,B,,Y,,,,,,
62,325,b'cid_1293 ',150.2876299793,1.9409972144,0.925,16.84,0.000128,3.570000000000001e-05,2.0100000000000003e-15,5.599999999999999e-16,3.59,154.59,19.72,6.11,18.17,8.78e-05,2.6000000000000002e-05,5.570000000000001e-16,1.6499999e-16,3.37,150.98,13.31,5.11,-99.0,0.000359,-99.0,1.09e-14,-99.0,0.0,-99.0,-99.0,-99.0,-0.12,-0.37,0.18,150.2876299793,1.9409972144,B,,Y,,,,,,
65,335,b'cid_1304 ',149.8605599648,2.3878495876,1.531,11.25,8.100000600000001e-05,3.0799998e-05,1.27e-15,4.84e-16,2.62,154.9,12.77,5.01,6.35,3.43e-05,1.85e-05,2.1700001000000002e-16,1.17e-16,1.85,157.71,5.34,3.45,6.32,5.190000200000001e-05,2.6400001e-05,1.58e-15,8.029999999999999e-16,1.97,157.59,8.37,4.16,-0.18,-0.69,0.39,149.8605599648,2.3878495876,B,,Y,,,,,,
67,344,b'cid_1313 ',149.930148634,2.5900586043500002,0.768,18.37,0.00019600001,4.13e-05,3.25e-15,6.84e-16,4.73,197.03,32.36,7.69,24.19,0.00016299999999999998,3.35e-05,1.1399999000000002e-15,2.34e-16,4.88,189.36,23.65,6.64,-99.9,0.00010800001,-99.9,3.3e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.64,-0.83,-0.5,149.930148634,2.59005860435,B,,Y,,,,,,
73,358,b'cid_1366 ',150.269320001,1.8648852879,0.562,11.28,9.590000000000001e-05,3.570000000000001e-05,1.5099999999999999e-15,5.599999999999999e-16,2.68,163.89,15.17,5.42,-99.0,0.000125,-99.0,7.93e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.000349,-99.0,1.06e-14,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.32,-99.0,150.269320001,1.8648852879,B,,Y,,,,,,
82,387,b'cid_1447 ',150.3912099882,2.1832612332,0.723,14.11,0.000123,3.52e-05,1.9300000000000002e-15,5.53e-16,3.49,172.11,19.56,6.08,6.94,4.96e-05,2.1e-05,3.14e-16,1.3300000000000002e-16,2.35,171.53,7.78,4.03,9.53,7.38e-05,2.9199999999999998e-05,2.2399999999999997e-15,8.88e-16,2.54,171.83,12.07,4.89,-0.02,-0.41,0.4,150.3912099882,2.1832612332,B,,Y,,,,,,
85,412,b'cid_1485 ',150.1915899984,1.9099486971000001,0.428,34.55,0.00021700001,4.77e-05,3.41e-15,7.49e-16,4.54,250.88,58.22,10.16,11.37,9.549999999999999e-05,2.9300001000000003e-05,6.05e-16,1.8600000000000001e-16,3.25,239.26,23.51,6.62,15.14,0.00011200000000000001,3.9500000000000005e-05,3.4e-15,1.2e-15,2.84,266.05,31.77,7.62,0.02,-0.2,0.26,150.1915899984,1.9099486971,B,,Y,,,,,,
86,417,b'cid_1490 ',149.8045999734,2.1188663938,0.768,13.9,9.8100005e-05,3.5799999999999996e-05,1.5399999e-15,5.62e-16,2.73,170.95,15.67,5.5,11.79,6.2e-05,2.3699998999999997e-05,3.9300000000000003e-16,1.5e-16,2.62,169.71,9.75,4.45,-99.0,0.00020099999999999998,-99.0,6.11e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.55,149.8045999734,2.1188663938,B,,Y,,,,,,
90,439,b'cid_1514 ',150.0861699559,2.1388651852000002,0.41,24.3,0.00016499998999999998,3.929999999999999e-05,2.59e-15,6.1700003e-16,4.2,169.73,26.96,7.06,9.9,5.96e-05,2.27e-05,3.78e-16,1.4400001e-16,2.62,169.28,9.59,4.42,11.1,9.53e-05,3.2e-05,2.9e-15,9.73e-16,2.97,169.37,15.99,5.55,0.04,-0.29,0.37,150.0861699559,2.1388651852,B,,Y,,,,,,
94,447,b'cid_1528 ',149.93043001430001,2.5224352015,1.179,14.6,0.00012100000500000001,3.06e-05,1.9e-15,4.8e-16,3.96,156.12,19.89,6.13,-99.0,0.000327,-99.0,2.0699998999999997e-15,-99.0,0.0,-99.0,-99.0,-99.0,10.27,8.32e-05,2.6000000000000002e-05,2.53e-15,7.9e-16,3.19,155.53,14.06,5.23,-99.0,-99.0,-0.54,149.93043001430001,2.5224352015,B,,Y,,,,,,
96,450,b'cid_1533 ',150.3327999931,2.4265237301,0.506,9.52,0.00010599999,3.37e-05,1.6599999e-15,5.29e-16,3.12,207.35,16.52,5.63,19.41,0.000113999995,2.8900002e-05,7.23e-16,1.8300000000000002e-16,3.93,197.64,17.49,5.78,-99.0,0.000143,-99.0,4.35e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.33,150.3327999931,2.4265237301,B,,Y,,,,,,
98,460,b'cid_1549 ',149.9315500041,2.3518566953,0.429,10.81,0.000166,4.9000002000000004e-05,2.6099999000000002e-15,7.690000000000001e-16,3.39,164.68,28.12,7.2,8.42,7.54e-05,2.95e-05,4.78e-16,1.87e-16,2.55,159.89,12.49,4.96,-99.0,0.00033999999999999997,-99.0,1.0299999e-14,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.67,149.9315500041,2.3518566953,B,,Y,,,,,,
103,570,b'cid_1736 ',150.490405233,2.46255213475,1.32,25.16,0.000129,2.9999999999999997e-05,2.11e-15,4.900000000000001e-16,4.31,173.99,22.24,6.45,12.66,6.620000000000001e-05,2.26e-05,4.510000499999999e-16,1.5400000000000001e-16,2.93,172.81,9.37,4.37,13.18,6.809999999999999e-05,2.2999998999999997e-05,2.08e-15,7.01e-16,2.96,173.65,10.4,4.58,-0.09,-0.35,0.26,150.490405233,2.46255213475,B,,Y,,,,,,
114,654,b'cid_2015 ',150.487039983,2.283044295,0.946,20.06,0.000113999995,3.96e-05,1.79e-15,6.2199996e-16,2.88,174.31,9.8,4.46,-99.0,0.000164,-99.0,1.04e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.00028900002,-99.0,8.790000000000001e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.22,-99.0,150.487039983,2.283044295,B,,Y,,,,,,
125,706,b'cid_2229 ',149.800138132,2.47034296029,0.16699999999999998,70.51,0.000368,5.2199997e-05,6.0399999999999995e-15,8.57e-16,7.06,162.58,65.24,10.73,73.76,0.000278,4.46e-05,1.9100000000000003e-15,3.0699999999999996e-16,6.23,149.24,37.43,8.24,-99.9,0.00026600002,-99.9,8.11e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.15,-0.3,0.0,149.800138132,2.47034296029,B,,Y,,,,,,
127,725,b'cid_2305 ',150.425795746,2.16006029466,0.688,12.6,7.900000000000001e-05,2.97e-05,1.2999999e-15,4.900000000000001e-16,2.66,181.16,7.84,4.05,-99.9,7.92e-05,-99.9,5.5e-16,-99.9,0.0,-99.0,-99.0,-99.0,7.18,5.6399999999999995e-05,2.68e-05,1.72e-15,8.180000500000001e-16,2.1,195.06,3.42,2.89,-99.0,-99.0,-0.31,150.425795746,2.16006029466,B,,Y,,,,,,
131,744,b'cid_235  ',150.0070399606,1.9180055093000001,0.539,43.77,0.000233,4.2499999999999996e-05,3.66e-15,6.67e-16,5.49,176.27,38.52,8.35,26.4,0.000102,2.6700001e-05,6.47e-16,1.6899999999999999e-16,3.82,175.95,16.69,5.66,19.69,0.00013500001,3.4e-05,4.1e-15,1.03e-15,3.97,175.79,22.9,6.54,0.04,-0.22,0.31,150.0070399606,1.9180055093,B,,Y,,,,,,
134,760,b'cid_2444 ',150.1393299992,2.3430127877,2.046,21.65,8.7700006e-05,3.3100000000000005e-05,1.3800000000000001e-15,5.2e-16,2.65,167.68,14.53,5.31,-99.0,8.78e-05,-99.0,5.570000000000001e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.00031300002999999995,-99.0,9.520001e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.31,-99.0,150.1393299992,2.3430127877,B,,Y,,,,,,
137,778,b'cid_2504 ',149.714104056,2.3241623219,0.7829999999999999,10.81,8.48e-05,2.7300000000000003e-05,1.3900000000000001e-15,4.480000000000001e-16,3.1,156.29,9.53,4.4,-99.9,6.850000000000001e-05,-99.9,4.7100003e-16,-99.9,0.0,-99.0,-99.0,-99.0,9.85,7.6100005e-05,2.6700001e-05,2.32e-15,8.1400004e-16,2.85,149.55,5.8,3.56,0.08,-0.26,0.64,149.714104056,2.3241623219,B,,Y,,,,,,
148,822,b'cid_2692 ',150.0779199783,2.0431886141,1.056,11.54,8.25e-05,3.04e-05,1.2999999e-15,4.77e-16,2.71,184.57,15.74,5.51,-99.0,0.00011699999599999999,-99.0,7.42e-16,-99.0,0.0,-99.0,-99.0,-99.0,11.41,7.8699995e-05,2.8000000000000003e-05,2.3899999999999998e-15,8.51e-16,2.82,187.54,15.62,5.49,-99.0,0.18,-99.0,150.0779199783,2.0431886141,B,,Y,,,,,,
