,id_x,RA_x,DEC_x,pos_err,DET_ML_F,rate_F,rate_F_err,flux_F,flux_F_err,snr_F,exptime_F,cts_ap_F,cts_ap_F_err,DET_ML_S,rate_S,rate_S_err,flux_S,flux_S_err,snr_S,exptime_S,cts_ap_S,cts_ap_S_err,DET_ML_H,rate_H,rate_H_err,flux_H,flux_H_err,snr_H,exptime_H,cts_ap_H,cts_ap_H_err,HR,HR_lo_lim,HR_up_lim,ra,dec,GRI/IZY,Visible,Invisible,Saturated,"Visible, Near Saturated Object","Not Visible, Near Saturated Object","Visible, but near an object","Not Visible, but near an object",Unclear
6,b'cid_1004 ',149.671174722,2.05762337388,0.259,91.09,0.000312,3.63e-05,5.1999996e-15,6.05e-16,8.58,222.43,56.29,10.0,13.16,6.46e-05,2.2999999e-05,4.57e-16,1.63e-16,2.8,212.6,9.79,4.46,76.31,0.000243,3.4200002e-05,7.42e-15,1.04e-15,7.1,234.84,46.32,9.11,0.67,0.53,0.83,149.67117472200002,2.05762337388,B,,Y,Y,,Y,,,
18,b'cid_1016 ',149.802720012,1.9019091035,1.02,21.75,0.000233,5.65e-05,3.66e-15,8.87e-16,4.13,184.17,27.37,7.11,-99.0,2.3800001e-05,-99.0,1.51e-16,-99.0,0.0,-99.0,-99.0,-99.0,25.71,0.00023499998,5.3400003e-05,7.14e-15,1.62e-15,4.41,185.78,28.57,7.25,-99.0,0.96,-99.0,149.802720012,1.9019091035,B,,Y,,,,,Y,
19,b'cid_1017 ',149.8896499797,1.9198053907,1.202,17.81,0.000155,4.1799998e-05,2.43e-15,6.56e-16,3.71,154.11,24.71,6.78,6.85,5.5700002e-05,2.3900002e-05,3.53e-16,1.52e-16,2.33,153.07,8.74,4.24,10.17,8.6800006e-05,3.48e-05,2.64e-15,1.0599999e-15,2.5,156.08,14.33,5.28,0.03,-0.31,0.4,149.88964997969998,1.9198053907,B,Y,,,,,,,
25,b'cid_1022 ',149.9696599765,1.8915863912,0.422,81.37,0.000309,5.0100003e-05,4.8499997e-15,7.8699996e-16,6.16,162.69,48.63,9.32,50.66,0.000171,3.47e-05,1.08e-15,2.2e-16,4.93,162.02,26.53,7.01,29.73,0.00013300001,3.7e-05,4.04e-15,1.12e-15,3.61,161.34,21.49,6.35,-0.19,-0.42,0.07,149.9696599765,1.8915863912,IZY,,,,,,Y,,Y
28,b'cid_1026 ',149.941041961,1.86268959536,0.448,13.5,9.92e-05,2.94e-05,1.65e-15,4.8800003e-16,3.37,241.82,13.79,5.19,12.32,7.6799995e-05,2.8299999e-05,5.4e-16,1.99e-16,2.71,233.22,8.03,4.09,7.18,4.8e-05,2.0899999e-05,1.4700001e-15,6.38e-16,2.3,252.81,5.75,3.55,-99.0,-99.0,-0.57,149.941041961,1.8626895953599998,B,,Y,,,Y,,,Y
56,b'cid_1054 ',149.7140399825,2.1219410938,0.349,60.29,0.000309,5.5700002e-05,4.8499997e-15,8.74e-16,5.54,165.42,48.87,9.35,18.69,0.000137,3.43e-05,8.6899995e-16,2.1700001e-16,3.98,161.9,21.19,6.31,42.5,0.00017,4.51e-05,5.1700003e-15,1.37e-15,3.78,170.65,28.0,7.18,0.05,-0.19,0.29,149.7140399825,2.1219410938,B,,Y,,,,,Y,Y
58,b'cid_10552',149.792453133,1.88709450423,0.429,-99.9,0.00010599999,-99.9,1.74e-15,-99.9,0.0,-99.0,-99.0,-99.0,11.33,4.5599998e-05,1.87e-05,3.13e-16,1.2799999e-16,2.43,164.28,7.25,3.91,-99.9,4.43e-05,-99.9,1.35e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.66,149.79245313299998,1.8870945042299998,B,Y,,Y,,,,,
59,b'cid_1056 ',149.7540299575,2.1418836256,0.293,190.88,0.00055500004,6.2399995e-05,8.71e-15,9.8e-16,8.89,161.17,88.12,12.41,243.08,0.000491,5.51e-05,3.1099998e-15,3.49e-16,8.9,160.4,76.67,11.6,-99.0,0.000309,-99.0,9.390001e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.86,-0.96,-0.8,149.7540299575,2.1418836256000002,B,Y,,Y,,,,,
65,b'cid_1060 ',149.7098899926,2.1551335057,0.295,86.98,0.000386,5.83e-05,6.06e-15,9.149999e-16,6.62,219.28,60.76,10.37,19.45,6.2600004e-05,2.6400001e-05,3.97e-16,1.67e-16,2.37,208.83,9.65,4.43,69.17,0.000331,5.21e-05,1.01e-14,1.58e-15,6.35,229.92,54.49,9.85,0.58,0.41,0.74,149.7098899926,2.1551335057,IZY,Y,,,,,,,Y
77,b'cid_1073 ',149.8727199697,2.0871363032,0.402,33.93,0.000147,3.8399998e-05,2.3099999e-15,6.03e-16,3.83,177.02,23.92,6.68,38.74,0.000103,2.77e-05,6.5300004e-16,1.76e-16,3.74,175.59,16.58,5.64,-99.0,0.000197,-99.0,5.9899997e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.82,149.8727199697,2.0871363032,B,Y,,Y,,,,,
