,id_x,RA_x,DEC_x,pos_err,DET_ML_F,rate_F,rate_F_err,flux_F,flux_F_err,snr_F,exptime_F,cts_ap_F,cts_ap_F_err,DET_ML_S,rate_S,rate_S_err,flux_S,flux_S_err,snr_S,exptime_S,cts_ap_S,cts_ap_S_err,DET_ML_H,rate_H,rate_H_err,flux_H,flux_H_err,snr_H,exptime_H,cts_ap_H,cts_ap_H_err,HR,HR_lo_lim,HR_up_lim,ra,dec,gfits,rfits,ifits,zfits,yfits
1,b'cid_1112 ',150.39505901200002,1.97698386908,0.198,339.78,0.00085699995,6.620000000000001e-05,1.4099999e-14,1.09e-15,12.94,184.63,151.27,16.13,248.29,0.000556,4.64e-05,3.85e-15,3.21e-16,11.98,175.65,92.58,12.71,113.94,0.000321,3.72e-05,9.8e-15,1.1399999000000002e-15,8.62,187.13,57.44,10.1,-0.27,-0.36,-0.18,150.39505901200002,1.97698386908,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.39505901200002/cutout-HSC-G-9813-pdr2_dud-200225-055629.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.39505901200002/cutout-HSC-R-9813-pdr2_dud-200225-055641.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.39505901200002/cutout-HSC-I-9813-pdr2_dud-200225-055650.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.39505901200002/cutout-HSC-Y-9813-pdr2_dud-200225-055709.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.39505901200002/cutout-HSC-Z-9813-pdr2_dud-200225-055659.fits
6,b'cid_1147 ',150.0077700096,2.149298189,0.246,25.84,0.00021199998,4.2800002e-05,3.3299999999999997e-15,6.72e-16,4.96,178.89,37.41,8.23,10.88,9.09e-05,2.6400001e-05,5.7600003e-16,1.67e-16,3.44,169.7,15.71,5.5,12.15,0.000120000004,3.44e-05,3.65e-15,1.0499999000000001e-15,3.5,181.85,22.07,6.43,0.04,-0.23,0.32,150.0077700096,2.149298189,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0077700096/cutout-HSC-G-9813-pdr2_dud-200225-060424.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0077700096/cutout-HSC-R-9813-pdr2_dud-200225-060432.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0077700096/cutout-HSC-I-9813-pdr2_dud-200225-060440.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0077700096/cutout-HSC-Y-9813-pdr2_dud-200225-060455.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0077700096/cutout-HSC-Z-9813-pdr2_dud-200225-060448.fits
7,b'cid_1149 ',150.02410995719998,2.2447951247,0.612,10.74,6.87e-05,4.03e-05,1.08e-15,6.33e-16,1.71,171.49,11.0,4.69,-99.0,4.8600003e-05,-99.0,3.0800000000000003e-16,-99.0,0.0,-99.0,-99.0,-99.0,11.9,6.27e-05,3.64e-05,1.9100000000000007e-15,1.1099999999999999e-15,1.72,172.97,10.35,4.57,-99.0,0.82,-99.0,150.02410995719998,2.2447951247,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.02410995719998/cutout-HSC-G-9813-pdr2_dud-200225-060542.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.02410995719998/cutout-HSC-R-9813-pdr2_dud-200225-060551.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.02410995719998/cutout-HSC-I-9813-pdr2_dud-200225-060600.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.02410995719998/cutout-HSC-Y-9813-pdr2_dud-200225-060614.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.02410995719998/cutout-HSC-Z-9813-pdr2_dud-200225-060607.fits
8,b'cid_11566',150.40499877929688,2.278424,0.953,-99.0,0.000353,-99.0,5.54e-15,-99.0,0.0,-99.0,-99.0,-99.0,15.33,7.01e-05,2.55e-05,4.44e-16,1.6200000000000002e-16,2.75,165.05,12.25,4.92,-99.0,6.42e-05,-99.0,1.95e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.59,150.40499877929702,2.2784240000000002,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.40499877929702/cutout-HSC-G-9813-pdr2_dud-200225-060709.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.40499877929702/cutout-HSC-R-9813-pdr2_dud-200225-060718.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.40499877929702/cutout-HSC-I-9813-pdr2_dud-200225-060726.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.40499877929702/cutout-HSC-Y-9813-pdr2_dud-200225-060742.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.40499877929702/cutout-HSC-Z-9813-pdr2_dud-200225-060734.fits
9,b'cid_11633',149.89700317382812,2.323927,1.861,-99.0,0.0007769999999999999,-99.0,1.22e-14,-99.0,0.0,-99.0,-99.0,-99.0,14.61,0.00010499999,3.3100000000000005e-05,6.66e-16,2.1e-16,3.19,168.45,16.89,5.69,-99.0,0.00022100001,-99.0,6.72e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.77,149.89700317382798,2.323927,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.89700317382798/cutout-HSC-G-9813-pdr2_dud-200225-060839.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.89700317382798/cutout-HSC-R-9813-pdr2_dud-200225-060847.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.89700317382798/cutout-HSC-I-9813-pdr2_dud-200225-060857.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.89700317382798/cutout-HSC-Y-9813-pdr2_dud-200225-060915.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.89700317382798/cutout-HSC-Z-9813-pdr2_dud-200225-060907.fits
10,b'cid_11754',150.20899963378906,2.2495540000000003,0.3670000000000001,-99.0,0.000592,-99.0,9.29e-15,-99.0,0.0,-99.0,-99.0,-99.0,16.39,4.92e-05,2.1700002e-05,3.1199998e-16,1.38e-16,2.27,160.79,7.83,4.05,-99.0,0.00025399998,-99.0,7.720000000000002e-15,-99.0,0.0,-99.0,-99.0,-99.0,0.23,0.1,0.72,150.208999633789,2.2495540000000003,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.208999633789/cutout-HSC-G-9813-pdr2_dud-200225-061016.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.208999633789/cutout-HSC-R-9813-pdr2_dud-200225-061024.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.208999633789/cutout-HSC-I-9813-pdr2_dud-200225-061033.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.208999633789/cutout-HSC-Y-9813-pdr2_dud-200225-061049.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.208999633789/cutout-HSC-Z-9813-pdr2_dud-200225-061041.fits
12,b'cid_1209 ',149.88171998110002,2.3679534797,0.68,23.57,0.000113,3.37e-05,1.77e-15,5.29e-16,3.35,143.43,17.59,5.79,12.17,4.66e-05,2.05e-05,2.95e-16,1.3e-16,2.27,144.84,7.19,3.9,-99.0,0.000376,-99.0,1.14e-14,-99.0,0.0,-99.0,-99.0,-99.0,-0.03,-0.26,0.26,149.88171998110002,2.3679534797,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.88171998110002/cutout-HSC-G-9813-pdr2_dud-200225-061253.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.88171998110002/cutout-HSC-R-9813-pdr2_dud-200225-061300.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.88171998110002/cutout-HSC-I-9813-pdr2_dud-200225-061309.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.88171998110002/cutout-HSC-Y-9813-pdr2_dud-200225-061324.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.88171998110002/cutout-HSC-Z-9813-pdr2_dud-200225-061316.fits
13,b'cid_1213 ',150.0007499728,2.2513576119,0.276,32.9,0.00015800001,3.88e-05,2.48e-15,6.089999999999999e-16,4.05,168.28,25.2,6.84,11.19,5.1e-05,2.1700002e-05,3.23e-16,1.38e-16,2.36,167.62,8.05,4.09,22.04,0.000112,3.35e-05,3.4e-15,1.0199999e-15,3.34,168.39,18.41,5.92,0.18,-0.13,0.51,150.0007499728,2.2513576119,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0007499728/cutout-HSC-G-9813-pdr2_dud-200225-061408.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0007499728/cutout-HSC-R-9813-pdr2_dud-200225-061416.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0007499728/cutout-HSC-I-9813-pdr2_dud-200225-061423.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0007499728/cutout-HSC-Y-9813-pdr2_dud-200225-061438.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0007499728/cutout-HSC-Z-9813-pdr2_dud-200225-061431.fits
14,b'cid_1229 ',150.3725199818,2.2030642287,1.195,8.42,0.00010800001,2.99e-05,1.7e-15,4.69e-16,3.6,160.98,17.59,5.79,14.01,6.96e-05,2.18e-05,4.4099997e-16,1.38e-16,3.19,160.76,11.21,4.73,-99.0,0.000199,-99.0,6.05e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.38,-0.68,0.02,150.3725199818,2.2030642287,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3725199818/cutout-HSC-G-9813-pdr2_dud-200225-061538.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3725199818/cutout-HSC-R-9813-pdr2_dud-200225-061545.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3725199818/cutout-HSC-I-9813-pdr2_dud-200225-061553.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3725199818/cutout-HSC-Y-9813-pdr2_dud-200225-061608.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3725199818/cutout-HSC-Z-9813-pdr2_dud-200225-061600.fits
15,b'cid_1246 ',150.0158299922,2.441884998,0.466,29.47,0.00021400001,4.31e-05,3.36e-15,6.77e-16,4.97,167.39,34.65,7.94,14.25,9.76e-05,2.7399999999999995e-05,6.190000299999999e-16,1.74e-16,3.55,165.57,15.51,5.47,13.98,0.00010800001,3.3199998e-05,3.2799999999999997e-15,1.01e-15,3.26,168.48,18.07,5.87,-0.06,-0.34,0.25,150.0158299922,2.441884998,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0158299922/cutout-HSC-G-9813-pdr2_dud-200225-061647.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0158299922/cutout-HSC-R-9813-pdr2_dud-200225-061656.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0158299922/cutout-HSC-I-9813-pdr2_dud-200225-061704.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0158299922/cutout-HSC-Y-9813-pdr2_dud-200225-061721.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0158299922/cutout-HSC-Z-9813-pdr2_dud-200225-061712.fits
