,ra,dec
0,149.6395599794,1.9910338913
2,149.6757400112,2.0105293029
3,149.6863800046,2.0472092954
4,149.7165600153,2.0079143032
5,149.663081244,2.01304059851
6,149.671174722,2.05762337388
7,149.6726599615,2.005768803
8,149.6763200068,2.0125258135
9,149.6900099577,2.0391442986
10,149.7089899885,2.0893049093
11,149.654383147,1.95983266657
13,149.67196041,1.94152586082
14,149.8145999862,1.9673987965
15,149.8182899898,2.0531547063
16,149.7542599596,1.9970840947
17,149.8649500124,2.0163398063
18,149.802720012,1.9019091035
19,149.8896499797,1.9198053907
20,149.7790699568,1.9285409076
21,149.830418489,1.90213334831
23,149.875779917,1.88274479272
24,149.916980004,1.8998990039
26,149.8656800092,2.0274264848
27,149.903983738,1.86695162604
28,149.941041961,1.86268959536
31,150.1248499656,1.8688045897
35,150.0347599635,1.9351770839
36,150.0650199666,1.9228288087
41,150.0209900068,2.4204640098
43,150.1289900094,1.9234153084
50,150.0222999691,2.5165541021
56,149.7140399825,2.1219410938
57,149.7371300193,2.0897728964
58,149.792453133,1.88709450423
59,149.7540299575,2.1418836256
60,149.8124599564,2.1110852046
61,149.688806826,2.13370002055
62,149.706969064,2.15898048748
63,149.705562881,2.46020963068
64,150.0402399946,2.471334229
65,149.7098899926,2.1551335057
66,149.7018800038,2.1216010169
67,149.7063999617,2.1317493863
68,149.7658899742,2.0547218002
69,149.7943599679,2.0731339148
70,149.8514000012,2.1361451073
71,149.8301300031,2.0891284979
72,149.8761199543,2.1667572726
73,150.0510599836,2.4938623779
74,149.9448800208,2.0782114887
75,149.8359600052,2.1657264162
76,149.850299958,2.1320895792
77,149.8727199697,2.0871363032
78,149.8269100111,2.0150246909
79,150.0469970703125,2.476209
80,149.8784399851,2.0317170894
81,149.8889699611,2.0228980014
82,150.0231200191,1.9844405919
83,149.9401600192,2.1402504012
84,149.9599699718,2.0324769112
85,150.058579994,2.4774506107
86,149.9986499785,2.0770061067
87,150.0427299634,2.1037334918
88,150.0591900128,2.1124640058
89,150.0227100052,2.0261455143
90,149.998620006,1.9745609866
92,150.1109699861,1.973119592
93,150.1397299689,1.9980228102
94,150.1487499893,2.0606356031
95,150.0354199865,2.0463831127
96,150.0591299699,2.5053880085
97,150.0983799566,2.0639424093
98,150.1059900206,2.0147039848
99,150.0992600127,2.0183635045
100,150.1183200033,1.9908477113
101,149.9909699599,2.0037389129
102,150.0980399782,2.0083040904
104,150.1495299869,1.9652985163
108,150.0621700161,2.4550581159
112,150.2299600003,1.9938728867
119,150.0641400079,2.4177898855
124,149.895349993,2.2276637683
