,ra,dec
6,149.671174722,2.05762337388
58,149.792453133,1.88709450423
59,149.7540299575,2.1418836256
61,149.688806826,2.13370002055
77,149.8727199697,2.0871363032
79,150.0469970703125,2.476209
87,150.0427299634,2.1037334918
96,150.0591299699,2.5053880085
112,150.2299600003,1.9938728867
125,150.398928113,2.05945495733
132,150.102614012,2.53039366026
167,150.0433099711,2.156501325
168,150.2259979248047,2.268128
177,150.10000610351562,2.354513
181,149.89700317382812,2.323927
192,150.1395199676,2.0952550875
194,150.20899963378906,2.249554
211,150.368579339,1.99234311682
272,150.0158299922,2.441884998
279,150.4410099907,2.3027095721
288,150.3429899883,2.3444932296
293,150.4251899911,2.3120887098
294,150.25999450683594,2.374536
306,150.30997643,2.50452821708
344,149.930148634,2.59005860435
346,150.2797599975,2.4222213944
374,150.053787714,2.58965008484
396,150.1503199611,2.3643142933
397,149.8175600127,1.9248376947
417,149.8045999734,2.1188663938
443,150.16273221,2.62208358662
460,149.9315500041,2.3518566953
468,150.532402166,2.37632042713
477,150.620131142,2.40387996103
488,150.430016457,2.54790267315
496,149.826414789,2.71812458062
548,149.518356875,1.87120704183
553,149.543856079,1.95370750877
563,149.7843099611,1.9589539109
570,150.490405233,2.46255213475
575,150.519476502,2.37692256615
587,150.60176696,2.28846572882
610,150.47913065,2.40451073113
612,149.620378361,2.0394224145
617,150.267538526,2.55203956213
645,150.4244899731,2.2917522807
654,150.487039983,2.283044295
667,149.8370700156,2.0089121051
673,149.8519300019,1.9985272873
679,150.0558799628,2.3576759856
682,149.8850500187,2.0088674893
702,149.775692816,2.57001803664
704,149.783745738,2.45213307109
720,149.6464080810547,1.9727553877
725,150.425795746,2.16006029466
740,150.506988411,2.06535038692
760,150.1393299992,2.3430127877
776,149.69756899,2.30433058313
786,149.7926499837,2.3929517081
790,149.8230599895,2.3685038301
791,150.0977700099,1.8452300966
819,150.087441096,1.74193350015
841,150.0206699662,2.0601877975
862,149.654631165,2.22006833419
907,149.9619800014,2.0026796138
944,150.2912199992,2.2910280031
947,149.596069383,2.22000884955
949,149.618800038,2.22051575814
953,149.643577583,2.0966396791
955,149.663061172,2.15155943747
959,149.713160015,2.0409019001
963,149.681632964,2.23978257929
986,150.134720961,1.71793130272
991,150.1912899749,1.8054636964
998,150.0146199979,1.845572888
1018,149.890681241,1.81838041696
1064,150.1051699645,1.9812317096
1087,150.168185117,2.61569175329
1091,150.230330102,2.55847572343
1093,150.2393699843,1.9302348956
1094,150.0798900132,2.3900454218
1096,150.1536299969,2.3994510151
1101,150.2320899886,2.3954386667
1115,150.3260899774,2.0982655934
1131,149.96111,2.38763
1147,150.42601158,1.88883364834
1184,149.711720755,2.36526565581
1195,149.761494516,2.31857092708
1199,149.9779600026,2.2853552717
1218,150.0927899814,2.1721091162
1236,150.2018600008,2.1264013773
1247,150.2063199877,2.1206884058
1253,150.506278517,2.05811629752
1261,149.9575199969,2.3957881691
1262,149.8264399734,2.3968317976
1276,149.733454741,2.51109947866
1288,150.0404999962,2.3970890325
1299,150.423308735,2.13303100826
1309,150.467439692,2.19945717215
1314,150.510117996,2.10255652856
1326,149.8994199989,2.5116091292
1344,149.815164294,2.54026482987
1358,150.4298799716,2.2911999318
1380,150.3578499946,2.024925012
1428,150.1304199662,2.4392587985
1429,150.1255899929,2.3124918914
1472,149.9059499757,2.3964745788
1486,150.4201699715,2.3092191298
1505,149.969412941,1.84658936215
1506,149.9990300043,1.9898735985
1515,150.2538499933,1.9299292954
1552,150.0273,2.549963026
1555,150.1174799571,2.4636959814
1601,150.1944900046,2.0426065844
1605,150.2203899906,1.954019513
1621,149.9802499846,2.1457426973
1648,149.8785599954,2.5441978187
1653,150.2189699973,2.2789278248
1671,150.3596399976,2.0735742885
1690,150.2849299859,2.1139543011
1725,150.0916600022,2.3907051203
1731,150.15402,2.43724
1741,149.7548999789,1.9596486892
1747,149.926764349,1.47181167745
1760,150.117797625,1.58561121648
1785,149.554058734,1.62610355569
1786,149.566781624,1.81249385414
1789,149.592558077,1.75668644766
1791,149.611116763,1.74568394713
1795,149.600616072,1.64350160519
1816,149.74501003,1.63505361435
1830,150.132264295,1.41872864661
1854,149.990286468,1.6016704314
1882,150.079592977,1.44981504349
1889,149.945671011,1.58063075123
1907,149.737136225,1.62921994974
1924,150.237920073,1.51651032667
1940,150.572620276,2.49988239587
1945,150.62124387,2.49977184982
1968,150.509408667,1.85759033956
1980,150.528056943,1.98691674447
2047,150.605361514,1.75381689415
2053,150.688916275,1.75693666424
2055,150.546683538,1.87114278192
2062,150.628909469,1.92231444736
2063,150.630934445,1.85923607855
2066,150.63423226,1.83065725317
2068,150.643067492,1.83648673684
2069,150.651850881,1.85128116634
2093,150.652045611,2.12098393555
2107,150.820879371,2.12761026146
2129,150.852419062,2.30884582276
2134,150.631206424,1.71577411721
2140,150.657610321,1.80180270379
2147,150.691875916,1.75324473585
2161,150.772000961,1.72553565431
2169,150.694876284,1.88686102434
2207,150.840403417,2.05753319881
2209,150.842951792,2.05483273129
2216,150.865444465,1.96165117714
2222,150.328770416,2.60546724181
2251,149.672440472,2.62906412592
2259,149.718558208,2.63019727421
2268,150.117955381,2.68461879087
2283,149.619694848,2.63475733525
2308,149.719344325,2.62735992657
2342,150.418166475,2.48632721597
2347,150.1802352,2.56365363741
2349,150.588295258,2.55248074935
2362,150.251285261,2.55552617844
2369,150.185715921,2.55694186044
2384,150.670891819,2.4973069798
2411,150.101741717,2.73973835116
2420,150.245496115,2.84450504809
2423,150.001184132,2.83254211984
2439,149.940623755,2.97614659511
2441,149.968176952,2.78045380035
2443,149.997945355,2.77971710528
2450,150.482598127,2.83443890787
2461,150.352769018,2.97203611963
2472,150.023343495,2.7098633785
2481,150.551215623,2.76471773333
2485,150.639647032,2.69129298785
2498,150.528859529,2.85971904187
2501,150.564004404,2.7953110223
2512,149.891927024,2.85401193857
2520,149.811053067,2.76397790781
2524,149.810755447,2.6517106864
2529,149.712691224,2.74371621204
